Latitude,Longitude,Food,Shop & Service,Professional & Other Places,Residence,Travel & Transport,Nightlife Spot,Outdoors & Recreation,College & University,Arts & Entertainment,Event
45.07231267771132,7.668757438659668,2.0,3.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
45.07231267771132,7.670903205871582,7.0,11.0,5.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0
45.07231267771132,7.673048973083496,8.0,4.0,6.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
45.07231267771132,7.67519474029541,11.0,4.0,4.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0
45.07231267771132,7.677340507507324,12.0,2.0,9.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0
45.07231267771132,7.679486274719238,7.0,9.0,7.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0
45.07231267771132,7.681632041931152,17.0,5.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0
45.07231267771132,7.683777809143066,11.0,11.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0
45.07231267771132,7.6859235763549805,3.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0
45.07231267771132,7.6880693435668945,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.07231267771132,7.690215110778809,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45.07231267771132,7.692360877990723,9.0,7.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0
45.07231267771132,7.694506645202637,8.0,7.0,1.0,2.0,2.0,0.0,1.0,1.0,5.0,0.0
45.07231267771132,7.696652412414551,10.0,4.0,1.0,1.0,3.0,2.0,1.0,7.0,1.0,0.0
45.07231267771132,7.698798179626465,4.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0
45.07231267771132,7.700943946838379,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
45.07231267771132,7.703089714050293,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
45.07082141713584,7.662320137023926,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
45.07082141713584,7.66446590423584,2.0,2.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
45.07082141713584,7.666611671447754,3.0,6.0,12.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0
